,Accession,Kinase_name,Gene_symbol,Gene_family,Cell_Location,Protein_longname and Alternative_names
331,P54764,EPHA4_HUMAN,EPHA4 HEK8 SEK TYRO1,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, axon Cell projection, dendrite Cell junction, synapse, postsynaptic cell membrane, postsynaptic density Early endosome",Ephrin type-A receptor 4  (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)
332,P54756,EPHA5_HUMAN,EPHA5 BSK EHK1 HEK7 TYRO4,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, axon Cell projection, dendrite",Ephrin type-A receptor 5  (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)
333,Q9UF33,EPHA6_HUMAN,EPHA6 EHK2 HEK12,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Membrane Single-pass type I membrane protein,Ephrin type-A receptor 6  (EPH homology kinase 2) (EHK-2) (EPH-like kinase 12) (EK12)
334,Q15375,EPHA7_HUMAN,EPHA7 EHK3 HEK11,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Cell membrane Single-pass type I membrane protein,Ephrin type-A receptor 7  (EPH homology kinase 3) (EHK-3) (EPH-like kinase 11) (EK11) (hEK11)
335,P29322,EPHA8_HUMAN,EPHA8 EEK HEK3 KIAA1459,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Cell membrane Single-pass type I membrane protein Cell projection Early endosome membrane,Ephrin type-A receptor 8  (EPH- and ELK-related kinase) (EPH-like kinase 3) (EK3) (hEK3) (Tyrosine-protein kinase receptor EEK)
336,P54762,EPHB1_HUMAN,EPHB1 ELK EPHT2 HEK6 NET,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane Single-pass type I membrane protein Early endosome membrane Cell projection, dendrite",Ephrin type-B receptor 1  (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)
337,P29323,EPHB2_HUMAN,EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane; Single-pass type I membrane protein. Cell projection, axon Cell projection, dendrite",Ephrin type-B receptor 2  (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]
338,P54753,EPHB3_HUMAN,EPHB3 ETK2 HEK2 TYRO6,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, dendrite",Ephrin type-B receptor 3  (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)
339,P54760,EPHB4_HUMAN,EPHB4 HTK MYK1 TYRO11,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Cell membrane Single-pass type I membrane protein,Ephrin type-B receptor 4  (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)
340,O15197,EPHB6_HUMAN,EPHB6,"Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily",Cell membrane Single-pass type I membrane protein,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6)
341,P04626,ERBB2_HUMAN,ERBB2 HER2 MLN19 NEU NGL,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-2  (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)
342,P21860,ERBB3_HUMAN,ERBB3 HER3,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-3  (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)
343,Q15303,ERBB4_HUMAN,ERBB4 HER4,"Protein kinase superfamily, Tyr protein kinase family, EGF receptor subfamily",Cell membrane Single-pass type I membrane protein,Receptor tyrosine-protein kinase erbB-4  (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]
344,P16591,FER_HUMAN,FER TYK3,"Protein kinase superfamily, Tyr protein kinase family, Fes/fps subfamily",Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase Fer  (Feline encephalitis virus-related kinase FER) (Fujinami poultry sarcoma/Feline sarcoma-related protein Fer) (Proto-oncogene c-Fer) (Tyrosine kinase 3) (p94-Fer)
345,P07332,FES_HUMAN,FES FPS,"Protein kinase superfamily, Tyr protein kinase family, Fes/fps subfamily",Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase Fes/Fps  (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)
346,P11362,FGFR1_HUMAN,FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 1 (FGFR-1)  (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)
347,P21802,FGFR2_HUMAN,FGFR2 BEK KGFR KSAM,"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 2 (FGFR-2)  (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)
348,P22607,FGFR3_HUMAN,FGFR3 JTK4,"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 3 (FGFR-3)  (CD antigen CD333)
349,P22455,FGFR4_HUMAN,FGFR4 JTK2 TKF,"Protein kinase superfamily, Tyr protein kinase family, Fibroblast growth factor receptor subfamily",Cell membrane Single-pass type I membrane protein,Fibroblast growth factor receptor 4 (FGFR-4)  (CD antigen CD334)
350,P09769,FGR_HUMAN,FGR SRC2,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily","Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle membrane. Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space",Tyrosine-protein kinase Fgr  (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr)
351,P17948,VGFR1_HUMAN,FLT1 FLT FRT VEGFR1,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily","Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle membrane. Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space",Vascular endothelial growth factor receptor 1 (VEGFR-1)  (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)
352,P36888,FLT3_HUMAN,FLT3 CD135 FLK2 STK1,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily","Cell membrane Lipid-anchor Cytoplasmic side Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle membrane. Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Mitochondrion inner membrane Mitochondrion intermembrane space",Receptor-type tyrosine-protein kinase FLT3  (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)
353,P35916,VGFR3_HUMAN,FLT4 VEGFR3,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily",Cell membrane Single-pass type I membrane protein. Cytoplasm Nucleus,Vascular endothelial growth factor receptor 3 (VEGFR-3)  (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)
354,P42685,FRK_HUMAN,FRK PTK5 RAK,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm Nucleus,Tyrosine-protein kinase FRK  (FYN-related kinase) (Nuclear tyrosine protein kinase RAK) (Protein-tyrosine kinase 5)
355,P06241,FYN_HUMAN,FYN,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm Nucleus,Tyrosine-protein kinase Fyn  (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)
356,P08631,HCK_HUMAN,HCK,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm Nucleus,Tyrosine-protein kinase HCK  (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)
357,P08069,IGF1R_HUMAN,IGF1R,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,Insulin-like growth factor 1 receptor  (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]
358,P06213,INSR_HUMAN,INSR,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,Insulin receptor (IR)  (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]
359,P14616,INSRR_HUMAN,INSRR IRR,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,Insulin receptor-related protein (IRR)  (IR-related receptor) [Cleaved into: Insulin receptor-related protein alpha chain; Insulin receptor-related protein beta chain]
360,Q08881,ITK_HUMAN,ITK EMT LYK,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",Cytoplasm Nucleus,Tyrosine-protein kinase ITK/TSK  (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)
361,P23458,JAK1_HUMAN,JAK1 JAK1A JAK1B,"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",Cytoplasm Nucleus,Tyrosine-protein kinase JAK1  (Janus kinase 1) (JAK-1)
362,O60674,JAK2_HUMAN,JAK2,"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",Endomembrane system Peripheral membrane protein Cytoplasm Nucleus,Tyrosine-protein kinase JAK2  (Janus kinase 2) (JAK-2)
363,P52333,JAK3_HUMAN,JAK3,"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",Endomembrane system Peripheral membrane protein Cytoplasm,Tyrosine-protein kinase JAK3  (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK)
364,P35968,VGFR2_HUMAN,KDR FLK1 VEGFR2,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily",Cell junction Endoplasmic reticulum,Vascular endothelial growth factor receptor 2 (VEGFR-2)  (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)
365,P10721,KIT_HUMAN,KIT SCFR,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily",Cell junction Endoplasmic reticulum,Mast/stem cell growth factor receptor Kit (SCFR)  (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)
366,P06239,LCK_HUMAN,LCK,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm Cell membrane Lipid-anchor Cytoplasmic side,Tyrosine-protein kinase Lck  (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)
367,P22575,TIP_SHV2C,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,Tyrosine-protein kinase-interacting protein (Tip)
368,P25049,TIP_SHV24,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,Tyrosine-protein kinase-interacting protein (Tip)
369,P88825,TIP_SHV48,UNAVAILABLE,UNAVAILABLE,Host cell membrane Single-pass membrane protein,Tyrosine protein kinase-interacting protein (Tip) (TipC484)
370,Q8IWU2,LMTK2_HUMAN,LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2,"Protein kinase superfamily, Tyr protein kinase family",Membrane Multi-pass membrane protein,Serine/threonine-protein kinase LMTK2  (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated kinase) (CPRK) (Kinase/phosphatase/inhibitor 2) (Lemur tyrosine kinase 2) (Serine/threonine-protein kinase KPI-2)
371,Q96Q04,LMTK3_HUMAN,LMTK3 KIAA1883 TYKLM3,"Protein kinase superfamily, Tyr protein kinase family","Membrane Single-pass membrane protein Cell projection, axon Cell projection, dendrite Golgi apparatus membrane",Serine/threonine-protein kinase LMTK3  (Lemur tyrosine kinase 3)
372,P29376,LTK_HUMAN,LTK TYK1,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily","Membrane Single-pass membrane protein Cell projection, axon Cell projection, dendrite Golgi apparatus membrane",Leukocyte tyrosine kinase receptor  (Protein tyrosine kinase 1)
373,Q83887,GP_NYV,GP,Hantavirus envelope glycoprotein family,Glycoprotein N: Virion membrane Single-pass type I membrane protein Host Golgi apparatus membrane Single-pass type I membrane protein Host endoplasmic reticulum membrane Single-pass type I membrane protein,Envelopment polyprotein (M polyprotein) [Cleaved into: Glycoprotein N (Gn) (Glycoprotein G1); Glycoprotein C (Gc) (Glycoprotein G2)]
374,P07948,LYN_HUMAN,LYN JTK8,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily","Cell membrane. Nucleus. Cytoplasm. Cytoplasm, perinuclear region. Golgi apparatus. Membrane Lipid-anchor",Tyrosine-protein kinase Lyn  (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)
375,P42679,MATK_HUMAN,MATK CTK HYL,"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",Cytoplasm Membrane,Megakaryocyte-associated tyrosine-protein kinase  (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)
376,Q12866,MERTK_HUMAN,MERTK MER,"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily",Membrane Single-pass type I membrane protein,Tyrosine-protein kinase Mer  (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)
377,P08581,MET_HUMAN,MET,"Protein kinase superfamily, Tyr protein kinase family",Membrane Single-pass type I membrane protein,Hepatocyte growth factor receptor (HGF receptor)  (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)
378,Q04912,RON_HUMAN,MST1R PTK8 RON,"Protein kinase superfamily, Tyr protein kinase family",Membrane Single-pass type I membrane protein,Macrophage-stimulating protein receptor (MSP receptor)  (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]
379,O15146,MUSK_HUMAN,MUSK,"Protein kinase superfamily, Tyr protein kinase family","Cell junction, synapse, postsynaptic cell membrane Single-pass type I membrane protein","Muscle, skeletal receptor tyrosine-protein kinase  (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)"
380,P04629,NTRK1_HUMAN,NTRK1 MTC TRK TRKA,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein Early endosome membrane Single-pass type I membrane protein Late endosome membrane Single-pass type I membrane protein Recycling endosome membrane Single-pass type I membrane protein,High affinity nerve growth factor receptor  (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)
381,Q16620,NTRK2_HUMAN,NTRK2 TRKB,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily","Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein Early endosome membrane Cell projection, axon Cell projection, dendrite Cytoplasm, perinuclear region",BDNF/NT-3 growth factors receptor  (GP145-TrkB) (Trk-B) (Neurotrophic tyrosine kinase receptor type 2) (TrkB tyrosine kinase) (Tropomyosin-related kinase B)
382,Q16288,NTRK3_HUMAN,NTRK3 TRKC,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily","Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein Early endosome membrane Cell projection, axon Cell projection, dendrite Cytoplasm, perinuclear region",NT-3 growth factor receptor  (GP145-TrkC) (Trk-C) (Neurotrophic tyrosine kinase receptor type 3) (TrkC tyrosine kinase)
383,P16234,PGFRA_HUMAN,PDGFRA PDGFR2 RHEPDGFRA,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, cilium Golgi apparatus",Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha)  (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)
384,P09619,PGFRB_HUMAN,PDGFRB PDGFR PDGFR1,"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily","Cell membrane Single-pass type I membrane protein Cell projection, cilium Golgi apparatus",Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta)  (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)
385,Q05397,FAK1_HUMAN,PTK2 FAK FAK1,"Protein kinase superfamily, Tyr protein kinase family, FAK subfamily","Cell junction, focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cell cortex. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Nucleus.",Focal adhesion kinase 1 (FADK 1)  (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)
386,Q14289,FAK2_HUMAN,PTK2B FAK2 PYK2 RAFTK,"Protein kinase superfamily, Tyr protein kinase family, FAK subfamily","Cell junction, focal adhesion. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cell cortex. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Nucleus.",Protein-tyrosine kinase 2-beta  (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)
387,Q13882,PTK6_HUMAN,PTK6 BRK,"Protein kinase superfamily, Tyr protein kinase family, BRK/PTK6/SIK subfamily","Cytoplasm. Nucleus. Cell projection, ruffle. Membrane",Protein-tyrosine kinase 6  (Breast tumor kinase) (Tyrosine-protein kinase BRK)
388,Q13308,PTK7_HUMAN,PTK7 CCK4,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Membrane Single-pass type I membrane protein Cell junction,Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)
389,P07949,RET_HUMAN,RET CDHF12 CDHR16 PTC RET51,"Protein kinase superfamily, Tyr protein kinase family",Cell membrane Single-pass type I membrane protein Endosome membrane Single-pass type I membrane protein,Proto-oncogene tyrosine-protein kinase receptor Ret  (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]
390,Q01973,ROR1_HUMAN,ROR1 NTRKR1,"Protein kinase superfamily, Tyr protein kinase family, ROR subfamily","Membrane Single-pass type I membrane protein. Cell projection, axon","Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)"
391,Q01974,ROR2_HUMAN,ROR2 NTRKR2,"Protein kinase superfamily, Tyr protein kinase family, ROR subfamily",Cell membrane Single-pass type I membrane protein,"Tyrosine-protein kinase transmembrane receptor ROR2  (Neurotrophic tyrosine kinase, receptor-related 2)"
392,P35398,RORA_HUMAN,RORA NR1F1 RZRA,"Nuclear hormone receptor family, NR1 subfamily",Nucleus,Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)
393,P08922,ROS1_HUMAN,ROS1 MCF3 ROS,"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",Cell membrane Single-pass type I membrane protein,Proto-oncogene tyrosine-protein kinase ROS  (Proto-oncogene c-Ros) (Proto-oncogene c-Ros-1) (Receptor tyrosine kinase c-ros oncogene 1) (c-Ros receptor tyrosine kinase)
394,P34925,RYK_HUMAN,RYK JTK5A,"Protein kinase superfamily, Tyr protein kinase family",Membrane Single-pass type I membrane protein Nucleus Cytoplasm,Tyrosine-protein kinase RYK 
395,P12931,SRC_HUMAN,SRC SRC1,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily","Cell membrane Mitochondrion inner membrane Nucleus Cytoplasm, cytoskeleton Cytoplasm, perinuclear region",Proto-oncogene tyrosine-protein kinase Src  (Proto-oncogene c-Src) (pp60c-src) (p60-Src)
396,Q9H3Y6,SRMS_HUMAN,SRMS C20orf148,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm,Tyrosine-protein kinase Srms 
397,Q6J9G0,STYK1_HUMAN,STYK1 NOK,"Protein kinase superfamily, Tyr protein kinase family",Membrane Single-pass membrane protein,Tyrosine-protein kinase STYK1  (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1)
398,P43405,KSYK_HUMAN,SYK,"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily","Cell membrane Cytoplasm, cytosol",Tyrosine-protein kinase SYK  (Spleen tyrosine kinase) (p72-Syk)
399,P42680,TEC_HUMAN,TEC PSCTK4,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily","Cell membrane Cytoplasm, cytosol",Tyrosine-protein kinase Tec 
400,Q02763,TIE2_HUMAN,TEK TIE2 VMCM VMCM1,"Protein kinase superfamily, Tyr protein kinase family, Tie subfamily","Cell membrane Single-pass type I membrane protein. Cell junction Cell junction, focal adhesion Cytoplasm, cytoskeleton. Secreted",Angiopoietin-1 receptor  (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)
401,P35590,TIE1_HUMAN,TIE1 TIE,"Protein kinase superfamily, Tyr protein kinase family, Tie subfamily",Cell membrane Single-pass type I membrane protein,Tyrosine-protein kinase receptor Tie-1 
402,O95271,TNKS1_HUMAN,TNKS PARP5A PARPL TIN1 TINF1 TNKS1,UNAVAILABLE,"Cytoplasm Golgi apparatus membrane Peripheral membrane protein Cytoplasm, cytoskeleton, microtubule organizing center, centrosome Nucleus, nuclear pore complex Chromosome, telomere Cytoplasm, cytoskeleton, spindle pole",Poly [ADP-ribose] polymerase tankyrase-1  (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Poly [ADP-ribose] polymerase 5A) (Protein poly-ADP-ribosyltransferase tankyrase-1) (TNKS-1) (TRF1-interacting ankyrin-related ADP-ribose polymerase) (Tankyrase I) (Tankyrase-1) (TANK1)
403,Q13470,TNK1_HUMAN,TNK1,"Protein kinase superfamily, Tyr protein kinase family",Cytoplasm Membrane Peripheral membrane protein,Non-receptor tyrosine-protein kinase TNK1  (CD38 negative kinase 1)
404,Q07912,ACK1_HUMAN,TNK2 ACK1,"Protein kinase superfamily, Tyr protein kinase family","Cell membrane. Nucleus. Endosome. Cell junction, adherens junction Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasmic vesicle, clathrin-coated vesicle. Membrane, clathrin-coated pit. Cytoplasm, perinuclear region",Activated CDC42 kinase 1 (ACK-1)   (Tyrosine kinase non-receptor protein 2)
405,P42681,TXK_HUMAN,TXK PTK4 RLK,"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",Cytoplasm Nucleus Cell membrane Peripheral membrane protein,Tyrosine-protein kinase TXK  (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)
406,P29597,TYK2_HUMAN,TYK2,"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",Cytoplasm Nucleus Cell membrane Peripheral membrane protein,Non-receptor tyrosine-protein kinase TYK2 
407,Q06418,TYRO3_HUMAN,TYRO3 BYK DTK RSE SKY TIF,"Protein kinase superfamily, Tyr protein kinase family, AXL/UFO subfamily",Cytoplasm Nucleus Cell membrane Peripheral membrane protein,Tyrosine-protein kinase receptor TYRO3  (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)
408,P07947,YES_HUMAN,YES1 YES,"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Cytoplasm Nucleus Cell membrane Peripheral membrane protein,Tyrosine-protein kinase Yes  (Proto-oncogene c-Yes) (p61-Yes)
409,P43403,ZAP70_HUMAN,ZAP70 SRK,"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",Cytoplasm Cell membrane Peripheral membrane protein,Tyrosine-protein kinase ZAP-70  (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)
410,Q2M2I8,AAK1_HUMAN,AAK1 KIAA1048,"Protein kinase superfamily, Ser/Thr protein kinase family","Cell membrane Peripheral membrane protein Membrane, clathrin-coated pit",AP2-associated protein kinase 1  (Adaptor-associated kinase 1)
